Well,Plate,CD41_APCH7,ANXA1_APC,Zombie_violet,PVR_PECy7,CD51_FITC,VEGFR1_594,CD168_700,Colony
A1,1,"1,297",502,75,"1,723",200,61,"2,315",Y
A2,1,-53,-89,21,626,138,93,"3,061",N
A3,1,372,212,69,929,197,44,604,N
A4,1,984,407,164,312,790,253,279,N
A5,1,"5,036","1,246",153,"1,121",914,266,"3,167",N
A6,1,"1,380",-32,115,989,370,42,653,N
A7,1,254,290,97,"1,461",247,88,830,N
A8,1,"1,905",439,99,774,442,142,"1,547",N
A9,1,"1,309",843,205,"1,249",526,285,"1,543",N
A10,1,-26,636,111,"1,107",157,188,"1,255",N
A11,1,806,530,100,"1,884",288,169,"1,553",N
A12,1,748,462,151,168,413,459,773,N
A13,1,"1,643",256,103,"1,098",706,209,"3,618",N
A14,1,"1,703","1,244",61,"1,090",567,194,"1,723",N
A15,1,"4,995",663,207,254,768,199,"1,374",N
A16,1,"3,107","1,210",81,899,816,105,"2,552",N
A17,1,"2,315",847,140,"1,364",782,348,"1,048",N
A18,1,"3,637",-58,52,"1,138",407,130,896,N
A19,1,"2,029",30,83,735,509,162,"1,557",N
A20,1,"5,146","2,156",139,575,911,305,948,N
A21,1,538,798,77,890,197,31,544,N
A22,1,"2,170",830,98,"1,374",487,177,"2,366",N
A23,1,"2,919",776,-60,908,836,-104,959,N
A24,1,751,212,65,85,181,144,445,N
B1,1,750,698,70,771,246,146,987,N
B2,1,"6,498","2,946",89,"1,001",774,545,"4,268",N
B3,1,"2,307",535,68,"1,029",267,352,877,N
B4,1,"1,824",546,82,"1,109",325,110,"1,486",N
B5,1,662,286,86,343,245,180,"1,180",N
B6,1,"1,346","1,099",97,753,445,373,"2,017",N
B7,1,799,136,34,972,129,120,402,N
B8,1,"1,483",612,116,"1,261",634,138,"1,134",Y
B9,1,"5,626","1,341",301,824,914,602,"3,367",N
B10,1,898,-368,21,886,181,15,272,N
B11,1,323,729,59,172,207,387,439,N
B12,1,"8,963","1,162",136,919,701,269,"1,769",N
B13,1,645,64,116,"1,032",331,111,"2,175",N
B14,1,"1,538",496,-56,520,315,151,751,N
B15,1,341,182,47,144,190,253,622,N
B16,1,"4,169","1,167",144,718,543,404,"1,259",N
B17,1,"2,315",969,122,398,725,161,"1,136",N
B18,1,971,"1,248",161,"1,304",503,341,"6,356",N
B19,1,"3,393","1,491",188,"2,125",494,385,"1,407",N
B20,1,"5,962",667,132,735,523,280,"2,380",N
B21,1,"11,399",766,110,191,"1,091",140,"1,075",N
B22,1,"2,677","2,550",243,62,698,714,"2,396",N
B23,1,534,-93,79,"1,554",213,123,431,N
B24,1,607,"1,263",190,953,553,534,"3,212",N
C1,1,905,162,44,"1,718",204,122,857,N
C2,1,"8,065","1,611",250,"3,001","1,032",728,"7,078",N
C3,1,290,128,66,"1,098",199,121,912,N
C4,1,"3,369",579,172,379,589,395,"1,715",N
C5,1,740,943,89,"2,714",312,237,"2,535",Y
C6,1,"1,273",485,108,"1,845",313,123,"2,111",N
C7,1,"2,582","1,441",138,826,470,338,"1,786",N
C8,1,"4,685",-85,28,413,434,95,528,N
C9,1,"1,234",291,89,427,279,121,897,N
C10,1,"2,436",282,66,685,495,168,548,N
C11,1,726,"1,354",146,"1,840",408,358,"1,274",N
C12,1,"4,895",789,66,"1,919",356,258,"1,258",N
C13,1,"8,256","1,367",141,"1,016",665,292,"1,987",N
C14,1,"2,839",155,96,501,645,61,347,N
C15,1,"3,082","1,505",82,944,624,318,"3,265",N
C16,1,"2,675",270,125,"1,235",611,149,"1,821",N
C17,1,"1,338",252,43,-50,167,92,368,N
C18,1,871,222,79,"1,244",231,208,"3,269",N
C19,1,"1,661",346,115,395,601,212,871,N
C20,1,617,628,107,"1,888",426,255,"3,037",N
C21,1,"1,893",180,62,611,255,112,515,N
C22,1,"2,650",-31,92,679,555,69,"1,226",N
C23,1,"1,195",82,141,"1,341",445,187,539,N
C24,1,"12,700","1,810",183,"2,098","1,148",356,"3,726",N
D1,1,"2,192",340,128,856,751,201,"1,035",N
D2,1,135,"1,542",158,"2,274",399,398,"1,695",N
D3,1,"4,016","2,587",142,611,"1,244",255,"1,628",N
D4,1,419,28,71,"1,152",241,189,-69,N
D5,1,868,261,34,338,147,86,106,N
D6,1,667,646,201,325,231,"1,416","29,003",N
D7,1,622,120,53,"1,324",343,42,13,N
D8,1,897,858,108,472,208,212,"1,316",N
D9,1,"30,649","5,090",215,-17,810,229,"1,007",N
D10,1,242,235,82,"1,145",251,198,91,N
D11,1,92,965,-13,645,431,275,240,N
D12,1,"3,404",858,161,"1,407",489,319,"2,048",Y
D13,1,937,-69,55,513,150,48,900,N
D14,1,"2,177","1,240",190,930,637,395,"2,023",N
D15,1,729,"1,361",157,"1,558",538,306,"1,763",N
D16,1,"3,830",430,94,"1,328",855,241,"1,812",N
D17,1,535,322,114,"1,380",311,316,818,N
D18,1,"1,678",-111,92,"1,220",596,32,445,N
D19,1,"1,383",126,76,707,248,97,"1,087",N
D20,1,338,-75,59,640,128,131,537,N
D21,1,"1,665","1,840",244,556,474,603,"1,419",N
D22,1,-98,-42,42,240,111,220,363,N
D23,1,"1,241",-2,52,806,245,90,843,N
D24,1,"4,280","1,035",86,662,555,111,"2,014",N
E1,1,"2,731",597,70,525,551,114,-21,N
E2,1,722,183,94,"1,262",598,59,454,N
E3,1,173,864,91,"1,201",206,201,"1,375",N
E4,1,994,"1,170",74,"1,838",275,242,"1,551",N
E5,1,"3,612",469,81,398,740,63,"1,250",N
E6,1,"5,569","1,147",77,321,589,115,608,N
E7,1,"3,767","2,560",102,164,556,207,649,N
E8,1,"1,280","1,073",128,"2,361",406,442,"3,221",Y
E9,1,"1,703",329,151,426,592,303,-269,N
E10,1,"2,940","1,701",152,833,654,505,"1,690",N
E11,1,"3,656","1,757",93,538,405,615,"1,729",N
E12,1,474,"1,177",60,"1,248",167,-14,487,N
E13,1,"1,335",706,105,"1,443",423,192,721,N
E14,1,970,-2,65,"1,688",526,12,"1,623",N
E15,1,319,638,89,413,186,317,528,N
E16,1,"1,374","1,335",233,"2,510",956,475,"3,653",N
E17,1,"2,201",477,122,543,368,104,"1,184",N
E18,1,331,879,24,193,269,188,36,N
E19,1,"4,024",853,115,858,813,277,"3,128",N
E20,1,241,881,61,"1,149",210,175,"1,361",N
E21,1,"5,641","1,605",120,"2,425","1,012",341,"4,731",N
E22,1,"2,255",411,205,247,471,498,-24,N
E23,1,"4,170","1,936",111,721,725,414,"1,879",N
E24,1,"4,031",941,82,884,975,330,"2,813",N
F1,1,828,449,77,"1,378",201,231,463,N
F2,1,102,670,96,659,202,237,"1,029",N
F3,1,"1,103",907,218,813,505,547,"1,339",N
F4,1,"1,049",274,54,954,192,144,"1,538",N
F5,1,969,-117,64,591,324,154,217,N
F6,1,"43,520","2,815",341,154,"1,016","1,208","19,056",N
F7,1,"1,040",494,62,"1,099",316,145,"1,090",N
F8,1,"1,614",366,101,527,296,337,"1,390",N
F9,1,371,260,63,"1,497",206,197,"2,276",N
F10,1,6,339,42,312,95,243,380,N
F11,1,"5,592",397,183,74,478,390,"1,124",N
F12,1,"2,735",135,45,"1,391",623,82,630,N
F13,1,"4,571","1,902",145,"1,655",537,248,"2,704",N
F14,1,808,"1,250",219,"1,498",481,386,"1,391",N
F15,1,"1,329",990,114,"1,161",338,265,"2,296",N
F16,1,"5,664","1,450",221,817,"1,297",444,"1,920",N
F17,1,524,-26,43,"1,213",154,5,618,N
F18,1,540,448,47,737,145,96,371,N
F19,1,992,193,61,654,182,83,-124,N
F20,1,"3,426",852,103,687,991,190,"2,199",N
F21,1,"1,013","1,330",128,515,458,318,"2,537",N
F22,1,988,"1,089",69,"1,931",320,241,"2,292",N
F23,1,"2,823","1,332",157,747,672,337,"1,596",N
F24,1,"4,730","2,035",-8,"1,059",607,246,"2,500",N
G1,1,753,946,146,"1,882",288,299,441,N
G2,1,"2,549",50,65,699,396,118,"1,340",N
G3,1,866,121,68,"2,146",208,63,"1,719",N
G4,1,-20,638,41,68,133,261,675,N
G5,1,422,"1,667",83,444,258,303,975,N
G6,1,372,-138,77,335,231,44,238,N
G7,1,486,378,64,395,309,214,"1,369",N
G8,1,"3,579",763,229,397,492,452,473,N
G9,1,"5,141",407,35,563,627,67,"1,055",N
G10,1,"1,176",239,67,263,246,220,487,N
G11,1,"4,668",927,157,715,865,739,"1,083",N
G12,1,"3,181","1,319",106,628,667,481,"1,954",N
G13,1,697,225,44,"1,020",271,37,834,Y
G14,1,"1,510",98,47,897,282,92,355,N
G15,1,531,180,239,506,554,362,941,N
G16,1,"1,824",-171,141,839,457,218,"1,772",N
G17,1,"3,319",800,96,"1,059",620,288,"3,153",N
G18,1,"9,212","1,281",148,"1,497",977,289,"4,305",N
G19,1,258,-24,111,"1,927",207,86,828,N
G20,1,"4,441",813,101,446,785,254,"1,881",N
G21,1,"1,040",404,46,943,419,31,"1,153",Y
G22,1,-69,98,20,"1,232",267,"1,506","9,621",N
G23,1,978,237,67,508,215,94,-323,N
G24,1,822,946,126,"1,603",351,358,"1,544",N
H1,1,"5,777",752,124,234,466,284,"2,804",N
H2,1,548,401,134,651,282,172,215,N
H3,1,"5,883","1,782",138,818,677,406,"2,478",N
H4,1,"1,396",925,152,"1,054",694,342,858,N
H5,1,"2,908",450,180,"1,922","1,599",246,295,N
H6,1,"2,029",379,81,613,264,90,421,N
H7,1,481,900,85,"1,296",214,448,707,N
H8,1,511,155,68,"1,012",320,195,783,N
H9,1,"2,865","1,347",150,"1,951",583,375,"2,146",N
H10,1,866,-120,65,"1,325",188,43,808,N
H11,1,"5,028",199,106,850,"1,945",185,"2,124",N
H12,1,519,"1,249",63,"1,965",136,49,997,N
H13,1,"1,427",215,118,"1,454",323,215,825,N
H14,1,"2,260",164,34,469,369,28,480,N
H15,1,"6,126",607,156,106,784,197,980,N
H16,1,"1,105","1,999",106,"1,774",583,238,"5,563",Y
H17,1,"2,603","1,147",206,"1,230",677,220,"1,389",N
H18,1,"4,182",440,23,533,326,142,867,N
H19,1,219,382,70,429,276,313,17,N
H20,1,955,675,95,"1,698",391,323,"1,477",N
H21,1,"4,673",655,114,684,583,251,"2,532",Y
H22,1,"1,975",862,178,971,620,423,589,N
H23,1,"4,345",836,142,"2,215",483,218,"2,081",N
H24,1,567,"1,588",106,"1,862",551,386,922,N
I1,1,"2,031","1,666",115,593,"1,599",456,"1,462",N
I2,1,"2,085",-111,72,741,475,-41,-138,N
I3,1,"2,477",555,233,688,707,257,-134,N
I4,1,"4,938",734,322,218,709,284,841,N
